probe	GSM2696792	GSM2696793	GSM2696794	GSM2696795	GSM2696796	GSM2696797	GSM2696798	GSM2696799	GSM2696800	GSM2696801	GSM2696802	GSM2696803	GSM2696804	GSM2696805	GSM2696806	GSM2696807	GSM2696808	GSM2696809	GSM2696810	GSM2696811	GSM2696812	GSM2696813	GSM2696814	GSM2696815	GSM2696816	GSM2696817	GSM2696818	GSM2696819	GSM2696820	GSM2696821	GSM2696822	GSM2696823	GSM2696824	GSM2696825	GSM2696826	GSM2696827	GSM2696828	GSM2696829	GSM2696830	GSM2696831	GSM2696832	GSM2696833	GSM2696834	GSM2696835	GSM2696836	GSM2696837	GSM2696838	GSM2696839	GSM2696840	GSM2696841	GSM2696842	GSM2696843	GSM2696844	GSM2696845	GSM2696846	GSM2696847	GSM2696848	GSM2696849	GSM2696850	GSM2696851	GSM2696852	GSM2696853	GSM2696854	GSM2696855	GSM2696856	GSM2696857
1552261_at	3.180171	3.501924	3.453857	3.50732	3.544714	3.222002	3.300446	3.24218	3.260678	3.251506	3.792581	3.22794	3.094283	3.231938	3.119713	3.686768	3.274501	3.499543	3.422657	3.151107	3.500012	3.026941	3.281055	3.319483	3.421742	3.270895	3.353087	3.172691	3.203486	3.602806	3.295963	3.710631	3.453924	3.670092	3.220968	3.416498	3.203974	3.017625	3.447757	3.864958	3.100941	3.383379	3.413221	3.271779	3.501053	3.63013	3.637551	3.436318	3.253675	3.482364	3.005222	3.544714	3.498978	3.483275	3.637655	2.865993	3.430048	3.360775	3.370125	3.339793	3.858524	3.733236	3.570872	3.317153	3.673814	3.512808
1552263_at	7.813531	7.292302	7.549619	6.932007	6.70787	7.121972	7.535541	7.765083	7.052444	7.498905	6.96916	6.847167	7.817259	6.567268	6.953969	6.66249	7.358602	7.067807	6.912496	7.130485	7.505602	7.60669	7.283399	7.168579	7.323334	7.787626	7.195211	7.279409	6.908413	7.05665	7.080813	7.014524	7.170234	7.59306	7.832598	6.653259	7.396741	7.806729	7.467593	7.343916	7.326458	7.772655	7.32732	7.504451	6.865435	6.753267	6.664752	7.074775	7.576173	7.88012	7.624452	6.636277	6.733148	7.431831	7.252554	6.849741	7.87472	6.726979	9.011415	6.661098	6.970765	6.828729	7.278406	6.756637	6.774562	7.047812
1552264_a_at	7.84507	7.389146	7.314198	6.842724	6.688234	7.1765	7.494563	7.540226	7.421808	7.732376	7.222486	7.288003	7.698129	7.118043	6.874547	7.242469	7.481837	7.417507	7.440146	7.439915	7.545725	7.53142	7.164399	7.201603	7.263471	7.630324	7.427868	7.415868	7.199716	7.345829	7.273431	7.263252	7.395268	7.668139	7.783389	6.955176	7.528787	7.542392	7.15325	7.379554	7.57075	7.525872	7.172857	7.680462	7.168787	7.338093	7.254072	7.384392	7.768278	7.750339	7.585422	7.442539	7.333444	7.729609	7.362614	7.463801	8.255191	7.068554	9.549719	7.442427	7.310995	7.300597	7.805598	7.260203	7.146025	7.389906
1552266_at	2.11274	2.056442	2.245361	2.111117	2.371979	2.497535	2.253976	2.308261	2.405399	2.360176	2.205085	2.197924	2.366931	2.4943	2.245724	2.194138	2.168026	2.16518	2.345232	2.503973	2.446295	2.316228	2.349017	2.16614	2.312019	2.219795	2.210526	2.349017	2.348042	2.29766	2.086519	2.342455	2.567053	2.156849	2.05033	2.161008	2.518191	2.635106	2.120768	2.292037	2.23782	2.169356	2.230951	2.199392	2.304895	2.418674	2.416808	2.189728	2.320626	2.268283	2.325003	2.099108	2.105682	2.172241	2.32117	2.25709	2.155183	2.168026	2.39037	2.313093	2.215371	2.128448	2.400862	2.273976	2.188293	2.099534
1552269_at	3.047224	2.926846	3.406433	3.654384	3.40765	3.221834	4.205347	2.872734	2.916577	3.402413	3.351015	3.763792	2.963936	3.406379	2.975628	3.452774	2.947432	3.303111	3.068199	3.353494	3.345633	3.372224	3.615829	3.106409	3.850164	3.519905	3.260738	3.256388	3.643908	3.095214	3.210813	3.3191	3.698977	3.158325	3.797816	3.111089	3.122408	3.517465	3.746474	3.346291	3.270364	3.368348	3.347515	3.516687	3.393184	2.92786	3.477094	3.282137	3.39371	3.331141	2.937887	3.088934	3.006433	3.466616	3.437807	3.574963	2.842164	2.861061	2.952853	3.339793	3.983164	3.418844	3.261342	2.858521	2.934597	3.121709
1552271_at	5.205952	5.03796	4.910422	5.35251	5.621134	4.831741	5.156884	5.362522	4.80096	5.497048	5.238201	4.86477	5.068593	5.534472	4.782376	5.43126	5.112356	5.182705	5.127955	4.839383	5.174414	4.929976	5.179665	5.104489	4.970892	5.322649	4.849725	5.194739	5.200385	5.305727	5.231808	5.151617	5.283772	5.009879	4.77035	5.155802	4.835977	5.008778	4.911284	5.251195	5.12157	5.242039	5.438978	4.850703	4.626184	5.158674	5.277104	5.042559	5.299918	5.170041	5.16494	5.110392	4.990739	5.257418	5.099872	4.975555	5.310543	4.998173	5.327502	5.194006	5.671696	5.434979	5.194435	5.237918	4.83476	4.995473
1552272_a_at	5.751644	5.148767	4.891165	5.488472	5.141266	5.093752	5.009223	5.193209	5.38086	5.469102	5.114051	5.111498	5.362232	5.301384	5.1171	5.723388	5.55368	5.393323	5.278648	5.06827	5.369396	5.600399	5.436595	5.339635	5.254737	5.235735	5.12639	5.161889	5.10756	5.428788	5.412869	5.061457	5.275897	5.266418	5.075837	5.281081	5.060674	4.949887	5.212415	4.873746	5.077242	5.584807	5.949471	4.963988	5.092882	5.616462	4.967415	5.233879	5.641271	5.358696	5.373165	5.031337	5.200695	5.495911	5.663723	5.029159	5.110493	5.277631	5.211416	5.330467	5.4981	5.432757	5.679051	5.627305	5.064498	5.192912
1552274_at	6.331782	6.083765	5.320969	5.691585	5.953134	5.8614	5.733555	5.669678	6.672541	5.379654	6.23619	5.796875	6.39627	6.678542	5.993738	4.844353	4.999073	5.208724	5.518151	6.063874	5.130291	5.826324	6.030838	5.976387	6.002932	6.131766	6.070947	6.030507	5.837581	5.815337	5.124711	5.707688	5.351071	5.380932	5.414251	6.110356	6.683969	6.445275	6.288616	5.911567	6.158294	4.98424	5.73059	6.196147	5.188426	5.931836	5.928655	5.970413	5.824276	5.901842	4.624649	5.6374	5.774557	5.582067	5.453802	6.911532	6.036839	6.230291	6.630506	5.753333	5.27418	5.821235	5.465277	5.460755	5.931168	5.337896
1552275_s_at	6.059352	5.544688	5.022763	4.710228	5.527169	5.247885	4.934578	5.56373	5.782259	4.523155	5.378063	5.211105	5.154083	5.678162	5.038493	4.79842	5.325479	6.088076	5.372672	5.511994	4.728705	5.000061	4.992586	4.738472	5.074335	5.001418	5.52987	5.326118	5.164806	5.245337	5.596124	4.856747	4.748641	5.797258	4.975258	5.022488	5.476884	5.405952	5.364922	5.291475	5.143809	4.5343	4.672196	5.063804	4.967243	5.683312	5.19965	5.709633	5.20473	5.308076	4.599827	5.278111	5.219861	5.07228	4.956819	5.275893	4.425762	5.092704	6.43824	5.535975	4.892002	4.865404	4.989014	5.191672	5.501074	4.855062
1552276_a_at	4.652941	4.864125	4.888992	5.213054	5.181691	5.074134	4.841694	4.79407	5.198103	4.780717	4.790677	4.50554	4.805094	4.697592	4.837667	4.738579	4.968112	5.087595	5.094859	5.029207	4.594465	4.80497	5.139764	4.793457	4.837619	4.539001	4.562632	4.920814	4.440972	4.813608	5.072257	4.601563	4.838334	4.559678	4.784925	4.864871	5.071705	4.760998	4.479879	4.59769	4.964177	4.96341	5.286198	4.935578	4.546761	4.732897	4.640969	4.873731	4.764375	4.786238	4.88419	5.192308	4.779366	4.882602	5.156017	4.858882	5.000958	4.778537	5.250758	5.14305	4.919636	5.074425	5.198476	5.065377	4.965252	4.724351
