symbol	GSM1523727	GSM1523728	GSM1523729	GSM1523744	GSM1523745	GSM1523746	GSM1523747	GSM1523748	GSM1523765	GSM1523768	GSM1523769	GSM1523770	GSM1523771	GSM1523772	GSM1523773	GSM1523774	GSM1523775	GSM1523776	GSM1523777	GSM1523778	GSM1523779	GSM1523780	GSM1523781	GSM1523782	GSM1523783	GSM1523784	GSM1523785	GSM1523786	GSM1523787	GSM1523788	GSM1523789	GSM1523790	GSM1523791	GSM1523792	GSM1523793	GSM1523794	GSM1523795	GSM1523796	GSM1523797	GSM1523798	GSM1523799	GSM1523800	GSM1523801	GSM1523802	GSM1523803	GSM1523804	GSM1523805	GSM1523806	GSM1523807	GSM1523808
SNORD73A	13.955405	13.934124	13.968713	14.008078	13.94132	14.007041	13.868189	14.102176	13.875819	13.990267	13.930132	13.934788	13.949828	13.899031	13.921997	13.874393	13.982003	13.86048	13.841624	13.823655	13.806943	13.82315	13.896484	13.860037	13.910401	13.855792	13.88164	13.886954	13.833668	13.862754	13.823224	13.675099	13.866833	13.874177	13.767901	13.913888	13.885381	13.909616	13.880944	13.894036	13.820503	13.893666	13.788895	13.70856	13.949604	13.829895	13.864442	13.767111	13.72426	13.842254
RPS18	14.035509	13.842086	13.88002	13.886715	13.850782	14.06581	14.08285	13.958316	14.052848	13.776722	13.761762	14.042134	13.817253	13.738256	13.786896	13.728554	14.052723	13.855246	14.047161	13.823796	13.825801	13.799732	13.927414	13.893464	13.828824	13.798504	13.679896	13.798504	13.864382	13.713499	13.797851	13.60493	13.813178	13.965985	13.311108	13.242034	13.849504	13.78161	13.635687	13.738496	13.8489	13.921981	13.635711	13.558453	13.916294	13.71254	13.834625	13.932757	13.852555	13.60738
RPS27	13.788986	13.765148	13.79755	13.887681	14.009357	14.056233	13.909416	13.947655	13.963859	13.793377	13.886331	13.863576	13.946755	13.763033	13.892567	13.869708	13.547992	13.53319	13.705218	13.899426	13.651994	13.717099	13.752513	13.804752	13.93649	13.820033	13.675473	13.872652	13.726062	13.797444	13.829706	13.550848	13.627677	13.764944	13.71237	13.65498	13.727024	13.79755	13.987217	13.896952	13.712717	13.78701	13.732256	13.677658	13.953486	13.719658	13.774368	13.839494	13.746428	13.750242
UBC	13.669225	13.916728	13.674603	13.890936	13.725275	13.638619	13.523472	13.903209	13.719768	13.931702	13.902891	13.871964	13.904673	13.834798	13.78978	13.765221	13.751831	13.704987	13.766382	13.87916	13.893118	13.951476	13.698034	13.718553	13.878935	13.794857	13.929435	13.80784	13.616295	13.789688	13.742414	14.012651	13.854432	13.743194	13.896839	13.92167	13.817433	13.90382	13.738875	13.881844	14.027549	13.833383	13.884451	13.816022	13.510561	13.703447	13.914426	13.738177	14.015374	13.858894
RPS16	13.657032	13.793268	13.90728	13.610709	13.794603	13.806398	13.674772	13.799721	13.713507	13.767361	13.75114	13.883057	13.788922	13.754648	13.78284	13.718721	13.769263	13.841256	13.69491	13.871092	13.647658	13.831051	13.997368	13.769162	13.76555	13.606338	13.801831	13.737666	13.612471	13.749125	13.834533	13.83223	13.828982	13.912338	13.863723	13.724489	14.121051	13.716181	13.628297	13.775788	13.600919	13.816257	13.823832	13.727736	13.740183	13.662798	13.742251	13.686056	13.836984	13.793268
RPL7	13.959127	13.887265	13.91065	13.905587	13.874899	13.849678	14.098477	13.908751	13.988556	13.807685	13.862716	13.870107	13.805761	13.752931	13.781951	13.758944	13.97956	13.98741	13.974425	13.730273	13.922272	13.671296	13.686811	13.755341	13.782383	13.682721	13.81862	13.828135	13.928136	13.729221	13.870712	13.701423	13.613181	13.887822	13.577253	12.989766	13.947295	13.71206	13.957172	13.595824	13.861529	13.837237	13.560968	13.815056	14.067321	13.651655	13.653228	13.657505	13.756191	13.674093
RPL39	13.742006	13.774811	13.766885	13.713732	13.722531	13.771366	13.771627	13.844411	13.636376	13.610146	13.730568	13.978446	13.841274	13.572891	13.79235	13.685256	13.815062	13.798174	13.851021	13.876534	13.903811	13.746401	13.681876	13.540437	13.723725	13.734946	13.654992	13.679455	13.889084	13.657485	13.96727	13.835892	13.584232	13.866112	13.569356	13.73811	13.98851	13.659608	13.834688	13.711803	13.677303	13.805215	13.583577	13.841948	13.833217	13.629664	13.753986	13.81248	13.768553	13.792969
RPS10	13.872263	13.730775	13.807466	13.826984	13.755708	14.286262	14.023352	13.830192	14.073322	13.739249	13.75916	14.059275	13.849849	13.807166	13.725765	13.689241	13.915301	13.709425	13.929685	13.715642	13.737941	13.731202	13.889659	14.026995	13.737024	13.733536	13.70678	13.726007	13.818916	13.703585	13.578226	13.241442	13.667949	13.90021	13.389774	13.107732	13.772363	13.651748	13.600312	13.675076	13.869871	13.681997	13.575528	13.571724	13.812119	13.578278	13.703838	13.811362	13.836639	13.686175
RPL23A	13.679166	13.626901	13.743157	13.677515	13.439096	13.698722	13.83036	13.841753	13.889329	13.841862	13.653327	13.928313	13.77509	13.754821	13.728976	13.677648	13.708429	13.62212	13.997066	13.762316	13.712715	13.782768	13.899895	13.861736	13.746428	13.812431	13.697959	13.749669	13.557738	13.712427	13.717943	13.526781	13.692685	13.67014	13.905948	13.818682	13.966502	13.70394	13.626627	13.780158	13.774429	13.695664	13.728431	13.924079	13.763671	13.663623	13.723558	13.850723	13.682364	13.623363
SNORD54	13.751047	13.842315	13.860567	13.791946	13.731607	13.637576	13.970685	13.841704	13.893876	13.867964	13.801205	13.784507	13.844706	13.775085	13.735933	13.701512	13.732661	13.83925	13.593027	13.699319	13.656468	13.701699	13.542675	13.730257	13.745034	13.582869	13.832148	13.764749	13.595651	13.692988	13.731607	13.742289	13.665438	13.795666	13.503778	13.316417	13.875514	13.704126	13.505989	13.724946	13.476644	13.911804	13.713299	13.702889	14.007529	13.567744	13.682598	13.633116	13.571007	13.683427
